,AAPL,MSFT,AMZN,TSLA,AAPL_returns,MSFT_returns,AMZN_returns,TSLA_returns
2020-10-01,116.588629463,211.897830278,3221.26,448.16,0.8462136259659185,1.0126943377751176,2.3034683824907245,4.463765413393635
2020-09-30,115.610319189,209.773466263,3148.73,429.01,1.5075817336797384,1.4812313032494415,0.12242120526061119,2.3719187725201034
2020-09-29,113.893284831,206.711589492,3144.88,419.07,-0.7567849687557029,-1.0408708937002513,-0.9190151383878664,-0.5056980056980046
2020-09-28,114.761784768,208.885821206,3174.05,421.2,2.3868899180391057,0.7795207392397857,2.5498121242080325,3.402562969509504
2020-09-25,112.086405652,207.27010773,3095.13,407.34,3.751617076690026,2.278655445769899,2.4948754714731867,5.041388380308918
2020-09-24,108.033405946,202.652358722,3019.79,387.79,1.026885735137866,1.296176279915438,0.664364337002388,1.9534125565253988
2020-09-23,106.935302578,200.059238329,2999.86,380.36,-4.194615866157835,-3.292835792150159,-4.1268907858446235,-10.3410885604507
2020-09-22,111.617216031,206.871166131,3128.99,424.23,1.5715843023779086,2.409400612182368,5.692339392055991,-5.598700460624395
2020-09-21,109.890198915,202.004078624,2960.47,449.39,3.0325720702104606,1.0729078295751124,0.18816139916274763,1.6374533529345265
2020-09-18,106.655785357,199.85976753,2954.91,442.15,-3.1720137751865267,-1.2419299195053337,-1.7887946076916228,4.421037715797173
2020-09-17,110.14975062,202.373099603,3008.73,423.43,-1.5963613668764778,-1.0436478905955313,-2.253662973912475,-4.149311843534948
2020-09-16,111.936664284,204.507437157,3078.1,441.76,-2.9513588364139505,-1.7865695952026843,-2.4723316213210547,-1.7787264318747775
2020-09-15,115.340784726,208.227567568,3156.13,449.76,0.16037449606066342,1.6406211970826412,1.7131973560814417,7.182689099661594
2020-09-14,115.156103705,204.866484596,3102.97,419.62,2.9955357143016474,0.6763711217230116,-0.4251946268235234,12.583172354582523
2020-09-11,111.806888431,203.49013608,3116.22,372.72,-1.3128910032223071,-0.6524808884181679,-1.8547388909360722,0.37162708030377883
2020-09-10,113.294319357,204.826590437,3175.11,371.34,-3.264575519937798,-2.8018363385211655,-2.8605431666671763,1.381456808998581
2020-09-09,117.117715631,210.730926101,3268.61,366.28,3.9886544938719437,4.258363761879181,3.7706677164554385,10.923351806426213
2020-09-08,112.625474578,202.123761104,3149.84,330.21,-6.729497354492013,-5.409568261223515,-4.394436991215975,-21.06282271944923
2020-09-04,120.751439505,213.683093933,3294.62,418.32,0.06618133672643692,-1.4035895076257816,-2.178741092636583,2.7813267813267797
