,index,Company,Price,Adj Close,low Price,High Price,Volume,returns
65,2020-09-10,AAPL,113.294319357,113.294319357,112.5,120.5,182274391,-3.2645755199378095
66,2020-09-09,AAPL,117.11771563100001,117.11771563100001,115.26,119.14,176940455,3.988654493871957
67,2020-09-08,AAPL,112.625474578,112.625474578,112.68,118.99,231366563,-6.729497354492013
68,2020-09-04,AAPL,120.751439505,120.751439505,110.89,123.7,332607163,0.06618133672642512
69,2020-09-03,AAPL,120.67157744200001,120.67157744200001,120.5,128.84,257599640,-8.006088279941585
70,2020-09-02,AAPL,131.173438748,131.173438748,127.0,137.98,200118991,-2.0718437919411135
71,2020-09-01,AAPL,133.948645443,133.948645443,130.53,134.8,152470142,3.9832610040715553
72,2020-08-31,AAPL,128.817507885,128.817507885,126.0,131.0,223505733,3.3912224823589057
73,2020-08-28,AAPL,124.59230560600001,124.59230560600001,498.31,505.77,46907479,-0.1619870407273406
74,2020-08-27,AAPL,124.794456453,124.794456453,495.33,509.94,38888096,-1.1954395465520182
75,2020-08-26,AAPL,126.304348585,126.304348585,500.33,507.97,40755567,1.3599038655877587
76,2020-08-25,AAPL,124.609775432,124.609775432,492.21,500.7172,52873947,-0.8203722466091135
77,2020-08-24,AAPL,125.640495185,125.640495185,495.745,515.14,86484442,1.1960279810440635
78,2020-08-21,AAPL,124.15555994799999,124.15555994799999,477.0,499.472,84513660,5.153244557720285
79,2020-08-20,AAPL,118.07106901,118.07106901,462.9335,473.56800000000004,31726797,2.2189572839208256
80,2020-08-19,AAPL,115.507995921,115.507995921,462.44,468.65,36384502,0.12547322921770987
81,2020-08-18,AAPL,115.36324593100001,115.36324593100001,456.03,464.0,26408385,0.8332787993544364
82,2020-08-17,AAPL,114.409892552,114.409892552,455.8501,464.35,29431414,-0.2610795641118881
83,2020-08-14,AAPL,114.709375289,114.709375289,452.18,460.0,41391302,-0.08912268547991617
84,2020-08-13,AAPL,114.81169855799999,114.81169855799999,455.71,464.17,52520516,1.7697548897306743
85,2020-08-12,AAPL,112.81514697799999,112.81514697799999,441.19,453.1,41486205,3.3234285713860285
86,2020-08-11,AAPL,109.186414483,109.186414483,436.4267,449.93,46975594,-2.9739859399789683
87,2020-08-10,AAPL,112.533134068,112.533134068,440.0,455.1,53100856,1.4534818313446864
88,2020-08-07,AAPL,110.920918668,110.920918668,441.17,454.7,49511403,-2.2694848658451314
89,2020-08-06,AAPL,113.496709309,113.496709309,439.19,457.65,50607225,3.4889267456395547
90,2020-08-05,AAPL,109.670389749,109.670389749,435.59,441.57,30497988,0.36246751492155144
91,2020-08-04,AAPL,109.27430588799999,109.27430588799999,433.55,443.16,43198092,0.6678141135984962
92,2020-08-03,AAPL,108.54939769,108.54939769,431.57,446.5457,77037847,2.5197628459944563
93,2020-07-31,AAPL,105.88143659,105.88143659,403.3,425.66,93573867,10.468863706984944
94,2020-07-30,AAPL,95.8473121176,95.8473121176,375.07,385.19,39532505,1.2100168350157905
