,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-09-28,115.01,115.32,112.78,114.96,114.761784768,137672403,0.0000,1.0,210.88,212.57,208.06,209.44,208.885821206,32004936,0.0000,1.0,3148.85,3175.04,3117.1684,3174.05,3174.05,4224165,0.0000,1.0,424.62,428.08,415.55,421.2,421.2,49719561,0.0000,1.0
2020-09-25,108.43,112.44,107.67,112.28,112.086405652,149981441,0.0000,1.0,203.55,209.04,202.54,207.82,207.27010773,29437312,0.0000,1.0,3054.86,3101.54,2999.0,3095.13,3095.13,4615202,0.0000,1.0,393.47,408.7323,391.3,407.34,407.34,67208459,0.0000,1.0
2020-09-24,105.17,110.25,105.0,108.22,108.033405946,167743349,0.0000,1.0,199.85,205.57,199.2,203.19,202.652358722,31202493,0.0000,1.0,2977.79,3069.3,2965.0,3019.79,3019.79,5529392,0.0000,1.0,363.8,399.5,351.3,387.79,387.79,96561061,0.0000,1.0
2020-09-23,111.62,112.11,106.77,107.12,106.935302578,150718671,0.0000,1.0,207.9,208.1,200.03,200.59,200.059238329,30803780,0.0000,1.0,3120.43,3126.999,2992.3759,2999.86,2999.86,5652665,0.0000,1.0,405.16,412.15,375.8801,380.36,380.36,95074176,0.0000,1.0
2020-09-22,112.68,112.86,109.16,111.81,111.617216031,183055373,0.0000,1.0,205.06,208.1,202.075,207.42,206.871166131,33517065,0.0000,1.0,3033.835,3133.99,3000.2,3128.99,3128.99,6948816,0.0000,1.0,429.6,437.76,417.6001,424.23,424.23,79580795,0.0000,1.0
2020-09-21,104.54,110.19,103.1,110.08,109.890198915,195713815,0.0000,1.0,197.19,202.71,196.38,202.54,202.004078624,39839657,0.0000,1.0,2906.5,2962.0,2871.0,2960.47,2960.47,6117925,0.0000,1.0,453.13,455.68,407.07,449.39,449.39,109476800,0.0000,1.0
2020-09-18,110.4,110.88,106.09,106.84,106.655785357,287104882,0.0000,1.0,202.8,203.65,196.25,200.39,199.85976753,55225326,0.0000,1.0,3031.74,3037.8,2905.54,2954.91,2954.91,8892580,0.0000,1.0,447.94,451.0,428.8,442.15,442.15,86406819,0.0000,1.0
2020-09-17,109.72,112.2,108.71,110.34,110.14975062,178010968,0.0000,1.0,200.05,204.33,199.96,202.91,202.373099603,34011257,0.0000,1.0,3009.25,3029.432,2972.55,3008.73,3008.73,6449050,0.0000,1.0,415.6,437.79,408.0001,423.43,423.43,76779163,0.0000,1.0
2020-09-16,115.23,116.0,112.04,112.13,111.936664284,155026675,0.0000,1.0,210.62,210.65,204.64,205.05,204.507437157,26372464,0.0000,1.0,3179.99,3187.238,3074.15,3078.1,3078.1,4531189,0.0000,1.0,439.87,457.79,435.31,441.76,441.76,72546760,0.0000,1.0
2020-09-15,118.33,118.829,113.61,115.54,115.340784726,184642039,0.0000,1.0,208.42,209.78,206.93,208.78,208.227567568,21823942,0.0000,1.0,3136.16,3175.02,3108.92,3156.13,3156.13,4021535,0.0000,1.0,436.56,461.94,430.7,449.76,449.76,97298228,0.0000,1.0
